OS,S,Q,Std,X,R
10,9,50,10,60,62.34527687
10,9,50,10,40,42.21498371
10,9,50,0,50,62.01954397
10,9,45,15,30,25.99348534
10,9,55,5,60,49.05537459
10,9,40,0,40,26.25407166
10,9,55,15,40,25.21172638
10,9,50,20,70,66.18892508
10,9,55,5,50,41.56351792
10,9,30,0,30,22.28013029
11,10,50,20,70,59.73941368
11,10,50,10,40,19.41368078
11,10,30,0,30,10.61889251
11,10,55,5,60,32.70358306
11,10,60,0,60,37.65472313
11,10,50,10,60,49.51140065
11,10,45,15,30,12.05211726
11,10,55,15,40,25.27687296
11,10,45,15,60,37.78501629
11,10,40,0,40,29.18566775
11,10,50,20,30,7.296416938
11,10,55,15,70,50.16286645
11,10,45,5,40,30.61889251
11,10,50,0,50,39.28338762
11,10,45,5,50,30.16286645
11,10,55,5,50,30.03257329
11,10,45,15,30,24.69055375
11,10,55,15,70,65.53745928
11,10,40,0,40,40.26058632
11,10,60,0,60,60.52117264
11,10,45,5,50,38.6970684
11,10,30,0,30,19.93485342
11,10,55,15,40,30.87947883
11,10,55,5,50,46.71009772
11,10,45,5,40,38.30618893
11,10,55,5,60,50.03257329
11,10,45,15,60,47.23127036
11,10,50,20,30,14.59283388
11,10,50,0,50,45.60260586
11,10,50,20,70,69.57654723
11,10,50,10,60,60.52117264
11,10,50,10,40,34.46254072
11,10,60,0,60,55.04885993
11,10,50,0,50,45.08143322
11,10,50,20,70,69.31596091
11,10,55,5,60,60
11,10,55,5,50,63.45276873
11,10,45,5,40,54.98371336
11,10,50,20,30,9.576547231
11,10,50,10,60,55.30944625
11,10,50,10,40,34.5276873
11,10,45,5,50,47.36156352
11,10,45,15,60,30.03257329
11,10,30,0,30,22.67100977
11,10,45,15,30,33.81107492
11,10,55,15,70,58.3713355
11,10,40,0,40,25.40716612
11,10,55,15,40,33.5504886
11,10,55,5,50,50.09771987
11,10,50,20,70,54.65798046
11,10,40,0,40,36.48208469
11,10,50,10,40,36.22149837
11,10,45,5,40,40.52117264
11,10,55,15,70,67.88273616
11,10,45,15,30,14.46254072
11,10,45,5,50,45.08143322
11,10,30,0,30,9.185667752
11,10,55,15,40,39.6742671
11,10,50,10,60,64.69055375
11,10,50,0,50,58.24104235
11,10,50,20,30,6.970684039
11,10,55,5,60,56.74267101
11,10,45,15,60,60.26058632
11,10,60,0,60,62.73615635
11,10,55,15,70,70.61889251
11,10,50,20,30,15.50488599
11,10,50,20,70,69.25081433
11,10,40,0,40,38.30618893
11,10,45,15,30,20.84690554
11,10,45,15,60,47.68729642
11,10,55,15,40,33.94136808
11,10,55,5,50,40.91205212
11,10,45,5,50,52.96416938
11,10,60,0,60,68.40390879
11,10,50,10,40,49.25081433
11,10,45,5,40,42.54071661
11,10,55,5,60,34.98371336
11,10,30,0,30,11.9218241
11,10,50,0,50,42.14983713
11,10,50,10,60,24.36482085
12,11,50,10,60,58.82736156
12,11,30,0,30,32.247557
12,11,45,15,30,41.04234528
12,11,55,15,70,65.99348534
12,11,55,5,60,57.00325733
12,11,50,10,40,41.36807818
12,11,50,0,50,49.05537459
12,11,55,15,40,42.86644951
12,11,60,0,60,63.97394137
12,11,40,0,40,41.82410423
12,11,55,5,50,55.70032573
12,11,45,5,40,45.73289902
12,11,45,15,60,55.11400651
12,11,50,20,30,33.28990228
12,11,50,20,70,75.24429967
12,11,45,5,50,43.97394137
12,11,50,10,40,51.9218241
12,11,55,5,60,62.67100977
12,11,45,15,60,45.73289902
12,11,50,0,50,49.96742671
12,11,55,5,50,55.17915309
12,11,45,15,30,40.9771987
12,11,30,0,30,31.85667752
12,11,60,0,60,60.19543974
12,11,55,15,70,69.12052117
12,11,40,0,40,40.13029316
12,11,50,20,70,70.29315961
12,11,45,5,50,45.86319218
12,11,50,10,60,60.6514658
12,11,50,20,30,31.33550489
12,11,45,5,40,40.91205212
12,11,55,15,40,49.05537459
12,11,50,10,60,61.49837134
12,11,55,15,40,45.73289902
12,11,40,0,40,42.86644951
12,11,50,10,40,43.90879479
12,11,45,15,30,36.22149837
12,11,45,15,60,62.93159609
12,11,50,20,70,71.40065147
12,11,55,5,50,49.96742671
12,11,50,0,50,50.09771987
12,11,60,0,60,56.35179153
12,11,55,5,60,51.72638436
12,11,45,5,40,41.04234528
12,11,45,5,50,50.48859935
12,11,30,0,30,31.9218241
12,11,50,20,30,31.72638436
12,11,55,15,70,71.14006515
12,11,55,5,50,60.9771987
12,11,60,0,60,64.42996743
12,11,50,10,40,56.61237785
12,11,30,0,30,32.18241042
12,11,45,15,30,40.26058632
12,11,40,0,40,36.67752443
12,11,50,20,30,32.37785016
12,11,55,15,70,70.35830619
12,11,45,15,60,36.74267101
12,11,50,10,60,44.95114007
12,11,50,20,70,70.94462541
12,11,45,5,40,42.73615635
12,11,50,0,50,50.09771987
12,11,55,15,40,45.1465798
12,11,45,5,50,50.87947883
12,11,55,5,60,60.91205212
12,11,30,0,30,30.42345277
12,11,45,15,60,58.04560261
12,11,50,0,50,49.90228013
12,11,55,15,70,69.70684039
12,11,55,15,40,39.21824104
12,11,55,5,60,60.45602606
12,11,60,0,60,59.6742671
12,11,50,10,60,59.80456026
12,11,45,15,30,29.83713355
12,11,50,20,30,30.09771987
12,11,50,20,70,69.25081433
12,11,40,0,40,40.52117264
12,11,50,10,40,40.3257329
12,11,55,5,50,51.20521173
12,11,45,5,50,47.62214984
12,11,45,5,40,41.10749186
13,12,50,20,30,20.39087948
13,12,45,15,60,40.06514658
13,12,60,0,60,39.86970684
13,12,45,5,40,40.13029316
13,12,50,0,50,40.26058632
13,12,50,20,70,50.09771987
13,12,40,0,40,40
13,12,50,10,40,40.26058632
13,12,50,10,60,49.96742671
13,12,45,15,30,49.90228013
13,12,30,0,30,40.26058632
13,12,55,5,60,50.22801303
13,12,55,15,70,50.09771987
13,12,55,15,40,39.86970684
